C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
global_step=272, episodic_return=0.760937511920929
SPS:  115
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4
SPS:  333
global_step=41568, episodic_return=0.0
global_step=41836, episodic_return=0.764453113079071
global_step=41872, episodic_return=0.0
SPS:  331
global_step=42012, episodic_return=0.0
global_step=42336, episodic_return=0.5921875238418579
global_step=42372, episodic_return=0.0
SPS:  331
global_step=42860, episodic_return=0.0
SPS:  332
global_step=43036, episodic_return=0.0
global_step=43112, episodic_return=0.349609375
global_step=43360, episodic_return=0.0
SPS:  332
global_step=43636, episodic_return=0.7574218511581421
global_step=43884, episodic_return=0.0
SPS:  329
global_step=44060, episodic_return=0.0
global_step=44136, episodic_return=0.0
global_step=44436, episodic_return=0.296875
SPS:  326
global_step=44908, episodic_return=0.0
SPS:  327
global_step=45084, episodic_return=0.0
global_step=45160, episodic_return=0.0
global_step=45460, episodic_return=0.0
SPS:  327
global_step=45716, episodic_return=0.7749999761581421
global_step=45932, episodic_return=0.0
SPS:  328
global_step=46108, episodic_return=0.0
global_step=46184, episodic_return=0.0
global_step=46368, episodic_return=0.8382812738418579
SPS:  329
global_step=46608, episodic_return=0.21601562201976776
global_step=46956, episodic_return=0.0
SPS:  330
global_step=47132, episodic_return=0.0
global_step=47392, episodic_return=0.0
SPS:  331
global_step=47632, episodic_return=0.0
global_step=47980, episodic_return=0.0
SPS:  330
global_step=48156, episodic_return=0.0
global_step=48264, episodic_return=0.44453126192092896
global_step=48416, episodic_return=0.0
SPS:  330
global_step=49004, episodic_return=0.0
SPS:  330
global_step=49180, episodic_return=0.0
global_step=49288, episodic_return=0.0
global_step=49440, episodic_return=0.0
SPS:  331
