C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
t:  16%|███████████████                                                                              | 42/259 [00:00<00:00, 416.07it/s, now=None]
global_step=272, episodic_return=0.760937511920929
SPS:  114
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4.

Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4
global_step=44740, episodic_return=0.0
global_step=44776, episodic_return=0.0
global_step=44868, episodic_return=0.0
SPS:  328
global_step=45396, episodic_return=0.0
SPS:  328
global_step=45764, episodic_return=0.0
global_step=45800, episodic_return=0.0
global_step=45892, episodic_return=0.0
SPS:  329
global_step=46420, episodic_return=0.0
SPS:  328
global_step=46788, episodic_return=0.0
global_step=46824, episodic_return=0.0
global_step=46916, episodic_return=0.0
SPS:  328
global_step=47444, episodic_return=0.0
SPS:  326
global_step=47812, episodic_return=0.0
global_step=47848, episodic_return=0.0
global_step=47940, episodic_return=0.0
SPS:  326
global_step=48468, episodic_return=0.0
SPS:  326
global_step=48836, episodic_return=0.0
global_step=48872, episodic_return=0.0
global_step=48964, episodic_return=0.0
SPS:  326
global_step=49492, episodic_return=0.0
SPS:  327
global_step=49860, episodic_return=0.0
global_step=49896, episodic_return=0.0
global_step=49988, episodic_return=0.0
SPS:  327
global_step=50516, episodic_return=0.0
SPS:  327
global_step=50884, episodic_return=0.0
global_step=50920, episodic_return=0.0
global_step=51012, episodic_return=0.0
SPS:  327
global_step=51540, episodic_return=0.0
SPS:  327
global_step=51908, episodic_return=0.0
global_step=51944, episodic_return=0.0
global_step=52036, episodic_return=0.0
SPS:  327
global_step=52564, episodic_return=0.0
SPS:  327
